VENDOR,DATE,SITEID,Transport Type,NOP,Count of >0.9,Util FEGE %,Max Ethernet Port Daily,BW,Priority,Suspect,Prio,Aging,TrafMax,NeedClose,Status,TiketID
HUAWEI,1/5/2026,LBP500,Leased Radio IP,MEDAN,18,100.51%,201.025.736,200.0,P1,Capacity transport issue,P1,18,201.025.736,Capacity transport issue,Open,LBP50020260105
HUAWEI,1/5/2026,LBP513,Metro-E,MEDAN,15,43.91%,439.139.472,1000.0,P2,need check quality transport,P2,15,439.139.472,need check quality transport,Open,LBP51320260105
HUAWEI,1/5/2026,LBP517,Metro-E,MEDAN,13,55.14%,551.404.344,1000.0,P2,need check quality transport,P2,13,551.404.344,need check quality transport,Open,LBP51720260105
HUAWEI,1/5/2026,LBP518,Telkomsel Radio IP,MEDAN,12,91.06%,182.111.656,200.0,P2,Capacity transport issue,P2,12,182.111.656,Capacity transport issue,Open,LBP51820260105
HUAWEI,1/5/2026,LBP520,Leased Radio IP,MEDAN,21,101.16%,202.324.368,200.0,P1,Capacity transport issue,P1,21,202.324.368,Capacity transport issue,Open,LBP52020260105
HUAWEI,1/5/2026,LBP529,Metro-E,PEMATANG SIANTAR,17,29.17%,29.172.544,1000.0,P2,need check quality transport,P2,17,29.172.544,need check quality transport,Open,LBP52920260105
HUAWEI,1/5/2026,LBP553,Metro-E,MEDAN,13,46.79%,467.855.136,1000.0,P2,need check quality transport,P2,13,467.855.136,need check quality transport,Open,LBP55320260105
HUAWEI,1/5/2026,LBP565,Metro-E,MEDAN,13,23.72%,237.161.824,1000.0,P2,need check quality transport,P2,13,237.161.824,need check quality transport,Open,LBP56520260105
HUAWEI,1/5/2026,LBP571,Leased Radio IP,MEDAN,14,69.01%,138.025.312,200.0,P2,monitoring,P2,14,138.025.312,monitoring,Open,LBP57120260105
HUAWEI,1/5/2026,LBP577,Metro-E,MEDAN,13,30.63%,306.284.232,1000.0,P2,need check quality transport,P2,13,306.284.232,need check quality transport,Open,LBP57720260105
HUAWEI,1/5/2026,LBP592,Metro-E,MEDAN,24,10.03%,100.299.432,1000.0,P1,need check quality transport,P1,24,100.299.432,need check quality transport,Open,LBP59220260105
HUAWEI,1/5/2026,LBP604,Telkomsel Radio IP,MEDAN,13,51.87%,207.479.576,400.0,P2,need check quality transport,P2,13,207.479.576,need check quality transport,Open,LBP60420260105
HUAWEI,1/5/2026,LBP606,Metro-E,MEDAN,12,27.81%,278.083.256,1000.0,P2,need check quality transport,P2,12,278.083.256,need check quality transport,Open,LBP60620260105
HUAWEI,1/5/2026,LBP619,Telkomsel Radio IP,PEMATANG SIANTAR,15,97.75%,195.496.376,200.0,P2,Capacity transport issue,P2,15,195.496.376,Capacity transport issue,Open,LBP61920260105
HUAWEI,1/5/2026,LBP622,Leased Radio IP,PEMATANG SIANTAR,13,99.67%,199.331.936,200.0,P2,Capacity transport issue,P2,13,199.331.936,Capacity transport issue,Open,LBP62220260105
HUAWEI,1/5/2026,LBP624,Leased Radio IP,PEMATANG SIANTAR,16,100.21%,20.042.356,200.0,P2,Capacity transport issue,P2,16,20.042.356,Capacity transport issue,Open,LBP62420260105
HUAWEI,1/5/2026,LBP625,Telkomsel Radio IP,MEDAN,12,99.94%,19.987.556,200.0,P2,Capacity transport issue,P2,12,19.987.556,Capacity transport issue,Open,LBP62520260105
HUAWEI,1/5/2026,LBP631,Metro-E,MEDAN,13,31.82%,31.815.352,1000.0,P2,need check quality transport,P2,13,31.815.352,need check quality transport,Open,LBP63120260105
HUAWEI,1/5/2026,LBP639,Leased Radio IP,PEMATANG SIANTAR,21,100.42%,200.845.392,200.0,P1,Capacity transport issue,P1,21,200.845.392,Capacity transport issue,Open,LBP63920260105
HUAWEI,1/5/2026,LBP645,Metro-E,MEDAN,12,26.27%,262.743.088,1000.0,P2,need check quality transport,P2,12,262.743.088,need check quality transport,Open,LBP64520260105
HUAWEI,1/5/2026,LBP646,Telkomsel Radio IP,MEDAN,16,98.70%,197.393.112,200.0,P2,Capacity transport issue,P2,16,197.393.112,Capacity transport issue,Open,LBP64620260105
HUAWEI,1/5/2026,LBP660,Metro-E,PEMATANG SIANTAR,14,32.03%,320.290.344,1000.0,P2,need check quality transport,P2,14,320.290.344,need check quality transport,Open,LBP66020260105
HUAWEI,1/5/2026,LBP674,Metro-E,MEDAN,12,40.73%,4.073.232,1000.0,P2,need check quality transport,P2,12,4.073.232,need check quality transport,Open,LBP67420260105
HUAWEI,1/5/2026,LBP676,Metro-E,PEMATANG SIANTAR,14,22.08%,220.817.112,1000.0,P2,need check quality transport,P2,14,220.817.112,need check quality transport,Open,LBP67620260105
HUAWEI,1/5/2026,LBP681,Leased Radio IP,MEDAN,16,92.24%,184.475.904,200.0,P2,Capacity transport issue,P2,16,184.475.904,Capacity transport issue,Open,LBP68120260105
HUAWEI,1/5/2026,LBP686,Metro-E,PEMATANG SIANTAR,14,37.37%,373.714.792,1000.0,P2,need check quality transport,P2,14,373.714.792,need check quality transport,Open,LBP68620260105
HUAWEI,1/5/2026,LBP694,Metro-E,MEDAN,17,20.54%,205.353.096,1000.0,P2,need check quality transport,P2,17,205.353.096,need check quality transport,Open,LBP69420260105
HUAWEI,1/5/2026,LBP705,Metro-E,MEDAN,12,32.34%,323.446.168,1000.0,P2,need check quality transport,P2,12,323.446.168,need check quality transport,Open,LBP70520260105
HUAWEI,1/5/2026,LBP707,Metro-E,MEDAN,16,15.65%,156.533.232,1000.0,P2,need check quality transport,P2,16,156.533.232,need check quality transport,Open,LBP70720260105
HUAWEI,1/5/2026,LBP748,Metro-E,MEDAN,13,39.24%,392.399.752,1000.0,P2,need check quality transport,P2,13,392.399.752,need check quality transport,Open,LBP74820260105
HUAWEI,1/5/2026,LBP760,Telkomsel Radio IP,MEDAN,15,88.73%,354.931,400.0,P2,Capacity transport issue,P2,15,354.931,Capacity transport issue,Open,LBP76020260105
HUAWEI,1/5/2026,LBP767,Telkomsel Radio IP,PEMATANG SIANTAR,20,100.81%,2.016.244,200.0,P1,Capacity transport issue,P1,20,2.016.244,Capacity transport issue,Open,LBP76720260105
HUAWEI,1/5/2026,LBP820,Telkomsel Radio IP,MEDAN,19,40.04%,320.330.736,800.0,P1,need check quality transport,P1,19,320.330.736,need check quality transport,Open,LBP82020260105
HUAWEI,1/5/2026,LBP829,Metro-E,MEDAN,14,53.26%,532.623.408,1000.0,P2,need check quality transport,P2,14,532.623.408,need check quality transport,Open,LBP82920260105
HUAWEI,1/5/2026,LBP830,Telkomsel Radio IP,PEMATANG SIANTAR,19,106.46%,212.913.264,200.0,P1,Capacity transport issue,P1,19,212.913.264,Capacity transport issue,Open,LBP83020260105
HUAWEI,1/5/2026,LBP848,Metro-E,PEMATANG SIANTAR,14,42.69%,426.916.384,1000.0,P2,need check quality transport,P2,14,426.916.384,need check quality transport,Open,LBP84820260105
HUAWEI,1/5/2026,LBP850,Telkomsel Radio IP,PEMATANG SIANTAR,13,91.53%,3.661.394,400.0,P2,Capacity transport issue,P2,13,3.661.394,Capacity transport issue,Open,LBP85020260105
HUAWEI,1/5/2026,LBP860,Leased Radio IP,PEMATANG SIANTAR,12,102.32%,409.269.376,400.0,P2,Capacity transport issue,P2,12,409.269.376,Capacity transport issue,Open,LBP86020260105
HUAWEI,1/5/2026,LBP867,Metro-E,PEMATANG SIANTAR,13,16.96%,16.958.168,1000.0,P2,need check quality transport,P2,13,16.958.168,need check quality transport,Open,LBP86720260105
HUAWEI,1/5/2026,LBP869,Telkomsel Radio IP,MEDAN,21,99.84%,199.682.768,200.0,P1,Capacity transport issue,P1,21,199.682.768,Capacity transport issue,Open,LBP86920260105
HUAWEI,1/5/2026,LBP884,Metro-E,BINJAI,12,46.12%,46.120.028,1000.0,P2,need check quality transport,P2,12,46.120.028,need check quality transport,Open,LBP88420260105
HUAWEI,1/5/2026,LBP905,Metro-E,PEMATANG SIANTAR,24,10.03%,100.309.256,1000.0,P1,need check quality transport,P1,24,100.309.256,need check quality transport,Open,LBP90520260105
HUAWEI,1/5/2026,LBP911,Metro-E,PEMATANG SIANTAR,12,41.15%,4.114.762,1000.0,P2,need check quality transport,P2,12,4.114.762,need check quality transport,Open,LBP91120260105
HUAWEI,1/5/2026,LBP949,Metro-E,PEMATANG SIANTAR,13,46.43%,464.338.152,1000.0,P2,need check quality transport,P2,13,464.338.152,need check quality transport,Open,LBP94920260105
HUAWEI,1/5/2026,MDN010,Metro-E,MEDAN,19,55.52%,555.232.552,1000.0,P1,need check quality transport,P1,19,555.232.552,need check quality transport,Open,MDN01020260105
HUAWEI,1/5/2026,MDN013,Metro-E,MEDAN,12,45.97%,459.661.296,1000.0,P2,need check quality transport,P2,12,459.661.296,need check quality transport,Open,MDN01320260105
HUAWEI,1/5/2026,MDN016,Metro-E,MEDAN,14,57.12%,571.154.536,1000.0,P2,need check quality transport,P2,14,571.154.536,need check quality transport,Open,MDN01620260105
HUAWEI,1/5/2026,MDN017,Metro-E,MEDAN,12,49.77%,497.722.176,1000.0,P2,need check quality transport,P2,12,497.722.176,need check quality transport,Open,MDN01720260105
HUAWEI,1/5/2026,MDN027,Metro-E,MEDAN,13,51.27%,512.743.296,1000.0,P2,need check quality transport,P2,13,512.743.296,need check quality transport,Open,MDN02720260105
HUAWEI,1/5/2026,MDN028,Metro-E,MEDAN,13,34.89%,348.938.888,1000.0,P2,need check quality transport,P2,13,348.938.888,need check quality transport,Open,MDN02820260105
HUAWEI,1/5/2026,MDN033,Metro-E,MEDAN,13,41.50%,415.008.504,1000.0,P2,need check quality transport,P2,13,415.008.504,need check quality transport,Open,MDN03320260105
HUAWEI,1/5/2026,MDN039,Metro-E,MEDAN,14,43.91%,439.115.232,1000.0,P2,need check quality transport,P2,14,439.115.232,need check quality transport,Open,MDN03920260105
HUAWEI,1/5/2026,MDN042,Metro-E,MEDAN,12,55.36%,553.637.344,1000.0,P2,need check quality transport,P2,12,553.637.344,need check quality transport,Open,MDN04220260105
HUAWEI,1/5/2026,MDN043,Metro-E,MEDAN,17,40.28%,402.824.936,1000.0,P2,need check quality transport,P2,17,402.824.936,need check quality transport,Open,MDN04320260105
HUAWEI,1/5/2026,MDN050,Metro-E,MEDAN,12,39.91%,399.095.464,1000.0,P2,need check quality transport,P2,12,399.095.464,need check quality transport,Open,MDN05020260105
HUAWEI,1/5/2026,MDN055,Metro-E,MEDAN,13,46.45%,464.506.648,1000.0,P2,need check quality transport,P2,13,464.506.648,need check quality transport,Open,MDN05520260105
HUAWEI,1/5/2026,MDN057,Metro-E,MEDAN,16,44.17%,441.651.192,1000.0,P2,need check quality transport,P2,16,441.651.192,need check quality transport,Open,MDN05720260105
HUAWEI,1/5/2026,MDN062,Metro-E,MEDAN,13,60.90%,609.014.592,1000.0,P2,monitoring,P2,13,609.014.592,monitoring,Open,MDN06220260105
HUAWEI,1/5/2026,MDN063,Metro-E,MEDAN,17,46.37%,4.636.514,1000.0,P2,need check quality transport,P2,17,4.636.514,need check quality transport,Open,MDN06320260105
HUAWEI,1/5/2026,MDN071,Metro-E,MEDAN,12,38.04%,38.036.312,1000.0,P2,need check quality transport,P2,12,38.036.312,need check quality transport,Open,MDN07120260105
HUAWEI,1/5/2026,MDN077,Metro-E,MEDAN,16,45.05%,45.046.748,1000.0,P2,need check quality transport,P2,16,45.046.748,need check quality transport,Open,MDN07720260105
HUAWEI,1/5/2026,MDN084,Metro-E,MEDAN,16,45.62%,456.223.592,1000.0,P2,need check quality transport,P2,16,456.223.592,need check quality transport,Open,MDN08420260105
HUAWEI,1/5/2026,MDN088,Metro-E,MEDAN,13,38.49%,384.863.568,1000.0,P2,need check quality transport,P2,13,384.863.568,need check quality transport,Open,MDN08820260105
HUAWEI,1/5/2026,MDN096,BTS Hotel,MEDAN,13,299.96%,299.958.904,100.0,P2,Capacity transport issue,P2,13,299.958.904,Capacity transport issue,Open,MDN09620260105
HUAWEI,1/5/2026,MDN098,Metro-E,MEDAN,15,35.96%,359.566.752,1000.0,P2,need check quality transport,P2,15,359.566.752,need check quality transport,Open,MDN09820260105
HUAWEI,1/5/2026,MDN103,Metro-E,MEDAN,16,42.78%,427.804.128,1000.0,P2,need check quality transport,P2,16,427.804.128,need check quality transport,Open,MDN10320260105
HUAWEI,1/5/2026,MDN105,Metro-E,MEDAN,14,47.59%,475.944.056,1000.0,P2,need check quality transport,P2,14,475.944.056,need check quality transport,Open,MDN10520260105
HUAWEI,1/5/2026,MDN110,Metro-E,MEDAN,13,69.16%,69.164.536,1000.0,P2,monitoring,P2,13,69.164.536,monitoring,Open,MDN11020260105
HUAWEI,1/5/2026,MDN115,Metro-E,MEDAN,14,38.65%,386.539,1000.0,P2,need check quality transport,P2,14,386.539,need check quality transport,Open,MDN11520260105
HUAWEI,1/5/2026,MDN118,Metro-E,MEDAN,13,38.90%,389.035.368,1000.0,P2,need check quality transport,P2,13,389.035.368,need check quality transport,Open,MDN11820260105
HUAWEI,1/5/2026,MDN131,Metro-E,MEDAN,12,39.30%,3.929.786,1000.0,P2,need check quality transport,P2,12,3.929.786,need check quality transport,Open,MDN13120260105
HUAWEI,1/5/2026,MDN133,Metro-E,MEDAN,13,34.10%,340.961.264,1000.0,P2,need check quality transport,P2,13,340.961.264,need check quality transport,Open,MDN13320260105
HUAWEI,1/5/2026,MDN151,Metro-E,MEDAN,12,51.85%,518.464.392,1000.0,P2,need check quality transport,P2,12,518.464.392,need check quality transport,Open,MDN15120260105
HUAWEI,1/5/2026,MDN152,Metro-E,MEDAN,13,29.04%,290.418.064,1000.0,P2,need check quality transport,P2,13,290.418.064,need check quality transport,Open,MDN15220260105
HUAWEI,1/5/2026,MDN157,Metro-E,MEDAN,12,47.28%,472.795.808,1000.0,P2,need check quality transport,P2,12,472.795.808,need check quality transport,Open,MDN15720260105
HUAWEI,1/5/2026,MDN159,Metro-E,MEDAN,12,55.90%,558.980.736,1000.0,P2,need check quality transport,P2,12,558.980.736,need check quality transport,Open,MDN15920260105
HUAWEI,1/5/2026,MDN162,Metro-E,MEDAN,15,35.76%,357.616.768,1000.0,P2,need check quality transport,P2,15,357.616.768,need check quality transport,Open,MDN16220260105
HUAWEI,1/5/2026,MDN163,Metro-E,MEDAN,17,34.37%,343.733.736,1000.0,P2,need check quality transport,P2,17,343.733.736,need check quality transport,Open,MDN16320260105
HUAWEI,1/5/2026,MDN167,Metro-E,MEDAN,13,49.35%,493.475.624,1000.0,P2,need check quality transport,P2,13,493.475.624,need check quality transport,Open,MDN16720260105
HUAWEI,1/5/2026,MDN169,Metro-E,MEDAN,16,39.95%,399.471.944,1000.0,P2,need check quality transport,P2,16,399.471.944,need check quality transport,Open,MDN16920260105
HUAWEI,1/5/2026,MDN183,Tsel-Telkom Radio IP,MEDAN,20,31.99%,19.195.992,600.0,P1,need check quality transport,P1,20,19.195.992,need check quality transport,Open,MDN18320260105
HUAWEI,1/5/2026,MDN184,Metro-E,MEDAN,16,42.97%,429.735.808,1000.0,P2,need check quality transport,P2,16,429.735.808,need check quality transport,Open,MDN18420260105
HUAWEI,1/5/2026,MDN187,Metro-E,MEDAN,13,34.21%,342.117.272,1000.0,P2,need check quality transport,P2,13,342.117.272,need check quality transport,Open,MDN18720260105
HUAWEI,1/5/2026,MDN188,Metro-E,MEDAN,18,52.02%,520.170.296,1000.0,P1,need check quality transport,P1,18,520.170.296,need check quality transport,Open,MDN18820260105
HUAWEI,1/5/2026,MDN190,Metro-E,MEDAN,14,55.36%,55.358.852,1000.0,P2,need check quality transport,P2,14,55.358.852,need check quality transport,Open,MDN19020260105
HUAWEI,1/5/2026,MDN196,Metro-E,MEDAN,16,44.85%,448.506.032,1000.0,P2,need check quality transport,P2,16,448.506.032,need check quality transport,Open,MDN19620260105
HUAWEI,1/5/2026,MDN197,Metro-E,MEDAN,17,50.01%,500.112.752,1000.0,P2,need check quality transport,P2,17,500.112.752,need check quality transport,Open,MDN19720260105
HUAWEI,1/5/2026,MDN200,Metro-E,MEDAN,13,45.03%,450.325.168,1000.0,P2,need check quality transport,P2,13,450.325.168,need check quality transport,Open,MDN20020260105
HUAWEI,1/5/2026,MDN201,Metro-E,MEDAN,13,41.15%,411.502.128,1000.0,P2,need check quality transport,P2,13,411.502.128,need check quality transport,Open,MDN20120260105
HUAWEI,1/5/2026,MDN212,Metro-E,MEDAN,13,46.89%,468.851.248,1000.0,P2,need check quality transport,P2,13,468.851.248,need check quality transport,Open,MDN21220260105
HUAWEI,1/5/2026,MDN220,Metro-E,MEDAN,15,30.03%,300.269.008,1000.0,P2,need check quality transport,P2,15,300.269.008,need check quality transport,Open,MDN22020260105
HUAWEI,1/5/2026,MDN224,Metro-E,MEDAN,14,54.26%,542.604.808,1000.0,P2,need check quality transport,P2,14,542.604.808,need check quality transport,Open,MDN22420260105
HUAWEI,1/5/2026,MDN231,Metro-E,MEDAN,15,51.62%,51.618.176,1000.0,P2,need check quality transport,P2,15,51.618.176,need check quality transport,Open,MDN23120260105
HUAWEI,1/5/2026,MDN232,Metro-E,MEDAN,19,31.05%,310.480.216,1000.0,P1,need check quality transport,P1,19,310.480.216,need check quality transport,Open,MDN23220260105
HUAWEI,1/5/2026,MDN236,Metro-E,MEDAN,14,49.65%,496.522.576,1000.0,P2,need check quality transport,P2,14,496.522.576,need check quality transport,Open,MDN23620260105
HUAWEI,1/5/2026,MDN238,Metro-E,MEDAN,15,38.49%,384.857.208,1000.0,P2,need check quality transport,P2,15,384.857.208,need check quality transport,Open,MDN23820260105
HUAWEI,1/5/2026,MDN245,Metro-E,MEDAN,13,49.25%,492.454.696,1000.0,P2,need check quality transport,P2,13,492.454.696,need check quality transport,Open,MDN24520260105
HUAWEI,1/5/2026,MDN249,Metro-E,MEDAN,16,47.17%,471.670.408,1000.0,P2,need check quality transport,P2,16,471.670.408,need check quality transport,Open,MDN24920260105
HUAWEI,1/5/2026,MDN254,Metro-E,MEDAN,14,36.62%,36.622.908,1000.0,P2,need check quality transport,P2,14,36.622.908,need check quality transport,Open,MDN25420260105
HUAWEI,1/5/2026,MDN257,Metro-E,MEDAN,13,41.91%,419.059.144,1000.0,P2,need check quality transport,P2,13,419.059.144,need check quality transport,Open,MDN25720260105
HUAWEI,1/5/2026,MDN261,Metro-E,MEDAN,14,53.58%,535.769.376,1000.0,P2,need check quality transport,P2,14,535.769.376,need check quality transport,Open,MDN26120260105
HUAWEI,1/5/2026,MDN271,Metro-E,MEDAN,15,55.80%,557.953.976,1000.0,P2,need check quality transport,P2,15,557.953.976,need check quality transport,Open,MDN27120260105
HUAWEI,1/5/2026,MDN272,Metro-E,MEDAN,13,45.95%,459.472.056,1000.0,P2,need check quality transport,P2,13,459.472.056,need check quality transport,Open,MDN27220260105
HUAWEI,1/5/2026,MDN275,Metro-E,MEDAN,16,43.53%,43.525.308,1000.0,P2,need check quality transport,P2,16,43.525.308,need check quality transport,Open,MDN27520260105
HUAWEI,1/5/2026,MDN279,Metro-E,MEDAN,13,40.62%,406.248.888,1000.0,P2,need check quality transport,P2,13,406.248.888,need check quality transport,Open,MDN27920260105
HUAWEI,1/5/2026,MDN282,Metro-E,MEDAN,13,54.54%,545.379.688,1000.0,P2,need check quality transport,P2,13,545.379.688,need check quality transport,Open,MDN28220260105
HUAWEI,1/5/2026,MDN283,Metro-E,MEDAN,14,41.19%,4.119.082,1000.0,P2,need check quality transport,P2,14,4.119.082,need check quality transport,Open,MDN28320260105
HUAWEI,1/5/2026,MDN294,Metro-E,MEDAN,15,45.35%,453.527.608,1000.0,P2,need check quality transport,P2,15,453.527.608,need check quality transport,Open,MDN29420260105
HUAWEI,1/5/2026,MDN330,Metro-E,MEDAN,16,38.99%,3.899.194,1000.0,P2,need check quality transport,P2,16,3.899.194,need check quality transport,Open,MDN33020260105
HUAWEI,1/5/2026,MDN336,Metro-E,MEDAN,12,50.78%,507.775.408,1000.0,P2,need check quality transport,P2,12,507.775.408,need check quality transport,Open,MDN33620260105
HUAWEI,1/5/2026,MDN344,Metro-E,MEDAN,14,41.47%,414.706.256,1000.0,P2,need check quality transport,P2,14,414.706.256,need check quality transport,Open,MDN34420260105
HUAWEI,1/5/2026,MDN347,Metro-E,MEDAN,12,32.48%,324.816.216,1000.0,P2,need check quality transport,P2,12,324.816.216,need check quality transport,Open,MDN34720260105
HUAWEI,1/5/2026,MDN367,Metro-E,MEDAN,15,39.35%,393.546.208,1000.0,P2,need check quality transport,P2,15,393.546.208,need check quality transport,Open,MDN36720260105
HUAWEI,1/5/2026,MDN369,Metro-E,MEDAN,15,32.73%,32.734.724,1000.0,P2,need check quality transport,P2,15,32.734.724,need check quality transport,Open,MDN36920260105
HUAWEI,1/5/2026,MDN423,Metro-E,MEDAN,15,56.38%,563.752.576,1000.0,P2,need check quality transport,P2,15,563.752.576,need check quality transport,Open,MDN42320260105
HUAWEI,1/5/2026,MDN432,Metro-E,MEDAN,16,40.91%,40.907.964,1000.0,P2,need check quality transport,P2,16,40.907.964,need check quality transport,Open,MDN43220260105
HUAWEI,1/5/2026,MDN480,Metro-E,MEDAN,12,33.13%,331.260.984,1000.0,P2,need check quality transport,P2,12,331.260.984,need check quality transport,Open,MDN48020260105
HUAWEI,1/5/2026,MDN484,Leased Radio IP,MEDAN,13,109.64%,219.288.048,200.0,P2,Capacity transport issue,P2,13,219.288.048,Capacity transport issue,Open,MDN48420260105
HUAWEI,1/5/2026,MDN499,Metro-E,MEDAN,13,37.54%,375.388.952,1000.0,P2,need check quality transport,P2,13,375.388.952,need check quality transport,Open,MDN49920260105
HUAWEI,1/5/2026,MDN505,Metro-E,MEDAN,14,26.01%,2.600.846,1000.0,P2,need check quality transport,P2,14,2.600.846,need check quality transport,Open,MDN50520260105
HUAWEI,1/5/2026,MDN528,Metro-E,MEDAN,19,36.32%,36.315.992,1000.0,P1,need check quality transport,P1,19,36.315.992,need check quality transport,Open,MDN52820260105
HUAWEI,1/5/2026,MDN553,Metro-E,MEDAN,12,31.01%,310.088.696,1000.0,P2,need check quality transport,P2,12,310.088.696,need check quality transport,Open,MDN55320260105
HUAWEI,1/5/2026,MDN560,Metro-E,MEDAN,12,79.31%,793.051.944,1000.0,P2,monitoring,P2,12,793.051.944,monitoring,Open,MDN56020260105
HUAWEI,1/5/2026,MDN561,Metro-E,MEDAN,12,46.32%,46.317.344,1000.0,P2,need check quality transport,P2,12,46.317.344,need check quality transport,Open,MDN56120260105
HUAWEI,1/5/2026,MDN566,Metro-E,MEDAN,19,48.40%,48.397.888,1000.0,P1,need check quality transport,P1,19,48.397.888,need check quality transport,Open,MDN56620260105
HUAWEI,1/5/2026,MDN570,Metro-E,MEDAN,12,34.92%,349.229.432,1000.0,P2,need check quality transport,P2,12,349.229.432,need check quality transport,Open,MDN57020260105
HUAWEI,1/5/2026,MDN577,Metro-E,MEDAN,13,31.64%,316.392.072,1000.0,P2,need check quality transport,P2,13,316.392.072,need check quality transport,Open,MDN57720260105
HUAWEI,1/5/2026,MDN578,Metro-E,MEDAN,18,26.43%,264.298.624,1000.0,P1,need check quality transport,P1,18,264.298.624,need check quality transport,Open,MDN57820260105
HUAWEI,1/5/2026,MDN579,Metro-E,MEDAN,12,39.94%,39.944.188,1000.0,P2,need check quality transport,P2,12,39.944.188,need check quality transport,Open,MDN57920260105
HUAWEI,1/5/2026,MDN598,Metro-E,MEDAN,20,101.77%,203.546.008,200.0,P1,Capacity transport issue,P1,20,203.546.008,Capacity transport issue,Open,MDN59820260105
HUAWEI,1/5/2026,MDN599,Metro-E,MEDAN,13,33.04%,330.372.272,1000.0,P2,need check quality transport,P2,13,330.372.272,need check quality transport,Open,MDN59920260105
HUAWEI,1/5/2026,MDN609,Metro-E,MEDAN,18,38.27%,382.654.224,1000.0,P1,need check quality transport,P1,18,382.654.224,need check quality transport,Open,MDN60920260105
HUAWEI,1/5/2026,MDN617,Metro-E,MEDAN,13,31.39%,31.394.164,1000.0,P2,need check quality transport,P2,13,31.394.164,need check quality transport,Open,MDN61720260105
HUAWEI,1/5/2026,MDN623,Metro-E,MEDAN,13,33.68%,336.849.416,1000.0,P2,need check quality transport,P2,13,336.849.416,need check quality transport,Open,MDN62320260105
HUAWEI,1/5/2026,MDN630,Metro-E,MEDAN,16,32.19%,321.922.216,1000.0,P2,need check quality transport,P2,16,321.922.216,need check quality transport,Open,MDN63020260105
HUAWEI,1/5/2026,MDN634,Metro-E,MEDAN,16,32.96%,329.552.296,1000.0,P2,need check quality transport,P2,16,329.552.296,need check quality transport,Open,MDN63420260105
HUAWEI,1/5/2026,MDN639,Telkomsel Radio IP,MEDAN,18,99.30%,198.599.752,200.0,P1,Capacity transport issue,P1,18,198.599.752,Capacity transport issue,Open,MDN63920260105
HUAWEI,1/5/2026,MDN654,Metro-E,MEDAN,12,41.10%,411.009.664,1000.0,P2,need check quality transport,P2,12,411.009.664,need check quality transport,Open,MDN65420260105
HUAWEI,1/5/2026,MDN670,Metro-E,MEDAN,14,35.31%,353.094.136,1000.0,P2,need check quality transport,P2,14,353.094.136,need check quality transport,Open,MDN67020260105
HUAWEI,1/5/2026,MDN672,Metro-E,MEDAN,18,29.63%,296.316.208,1000.0,P1,need check quality transport,P1,18,296.316.208,need check quality transport,Open,MDN67220260105
HUAWEI,1/5/2026,MDN679,Metro-E,MEDAN,13,25.68%,256.837.784,1000.0,P2,need check quality transport,P2,13,256.837.784,need check quality transport,Open,MDN67920260105
HUAWEI,1/5/2026,MDN684,Metro-E,MEDAN,13,25.64%,256.407.112,1000.0,P2,need check quality transport,P2,13,256.407.112,need check quality transport,Open,MDN68420260105
HUAWEI,1/5/2026,MDN687,Metro-E,MEDAN,16,31.58%,315.840.928,1000.0,P2,need check quality transport,P2,16,315.840.928,need check quality transport,Open,MDN68720260105
HUAWEI,1/5/2026,MDN708,Metro-E,MEDAN,17,40.10%,400.982.824,1000.0,P2,need check quality transport,P2,17,400.982.824,need check quality transport,Open,MDN70820260105
HUAWEI,1/5/2026,MDN730,BTS Hotel,MEDAN,14,260.30%,260.297.424,100.0,P2,Capacity transport issue,P2,14,260.297.424,Capacity transport issue,Open,MDN73020260105
HUAWEI,1/5/2026,MDN740,Metro-E,MEDAN,12,23.35%,233.518.376,1000.0,P2,need check quality transport,P2,12,233.518.376,need check quality transport,Open,MDN74020260105
HUAWEI,1/5/2026,MDN744,Metro-E,MEDAN,12,39.11%,39.113.864,1000.0,P2,need check quality transport,P2,12,39.113.864,need check quality transport,Open,MDN74420260105
HUAWEI,1/5/2026,MDN746,Metro-E,MEDAN,12,40.45%,404.515.096,1000.0,P2,need check quality transport,P2,12,404.515.096,need check quality transport,Open,MDN74620260105
HUAWEI,1/5/2026,MDN755,Metro-E,MEDAN,12,35.77%,357.744.592,1000.0,P2,need check quality transport,P2,12,357.744.592,need check quality transport,Open,MDN75520260105
HUAWEI,1/5/2026,MDN756,Metro-E,MEDAN,12,43.44%,434.389.424,1000.0,P2,need check quality transport,P2,12,434.389.424,need check quality transport,Open,MDN75620260105
HUAWEI,1/5/2026,MDN768,Telkomsel Radio IP,MEDAN,18,51.29%,153.875.456,300.0,P1,need check quality transport,P1,18,153.875.456,need check quality transport,Open,MDN76820260105
HUAWEI,1/5/2026,MDN811,Metro-E,MEDAN,14,48.50%,48.504.192,1000.0,P2,need check quality transport,P2,14,48.504.192,need check quality transport,Open,MDN81120260105
HUAWEI,1/5/2026,MDN826,Metro-E,MEDAN,17,39.83%,398.293.576,1000.0,P2,need check quality transport,P2,17,398.293.576,need check quality transport,Open,MDN82620260105
HUAWEI,1/5/2026,MDN838,Metro-E,MEDAN,12,54.82%,54.815.592,1000.0,P2,need check quality transport,P2,12,54.815.592,need check quality transport,Open,MDN83820260105
