VENDOR,DATE,SITEID,Transport Type,NOP,Count of >0.9,Util FEGE %,Max Ethernet Port Daily,BW,Priority,Suspect,Prio,Aging,TrafMax,NeedClose,Status,TiketID
EID,1/5/2026,LGS075,Metro-E,BINJAI,12,20.62%,2.062.489.339,1000.0,P2,Need check quality transport,P2,12,2.062.489.339,Need check quality transport,Open,LGS07520260105
EID,1/5/2026,LGS153,Metro-E,BINJAI,13,43.00%,4.300.472.034,1000.0,P2,Need check quality transport,P2,13,4.300.472.034,Need check quality transport,Open,LGS15320260105
EID,1/5/2026,LHK038,Metro-E,BINJAI,12,13.89%,1.389.036.275,1000.0,P2,Need check quality transport,P2,12,1.389.036.275,Need check quality transport,Open,LHK03820260105
EID,1/5/2026,LHK067,Telkomsel Radio IP,BINJAI,17,46.77%,187.094.606,400.0,P2,Need check quality transport,P2,17,187.094.606,Need check quality transport,Open,LHK06720260105
EID,1/5/2026,NAD912,Metro-E,ACEH,12,21.36%,2.135.864.507,1000.0,P2,Need check quality transport,P2,12,2.135.864.507,Need check quality transport,Open,NAD91220260105
EID,1/5/2026,PSP278,Telkomsel Radio IP,RANTAU PRAPAT,14,50.34%,2.013.461.929,400.0,P2,Need check quality transport,P2,14,2.013.461.929,Need check quality transport,Open,PSP27820260105
EID,1/5/2026,PYB001,Metro-E,PADANG SIDEMPUAN,15,30.76%,3.076.048.683,1000.0,P2,Need check quality transport,P2,15,3.076.048.683,Need check quality transport,Open,PYB00120260105
EID,1/5/2026,PYB111,Leased Radio IP,PADANG SIDEMPUAN,12,35.26%,141.025.058,400.0,P2,Need check quality transport,P2,12,141.025.058,Need check quality transport,Open,PYB11120260105
EID,1/5/2026,PYB224,Leased Radio IP,PADANG SIDEMPUAN,12,97.27%,194.543.529,200.0,P2,Capacity transport issue,P2,12,194.543.529,Capacity transport issue,Open,PYB22420260105
EID,1/5/2026,PYB962,Leased Radio IP,PADANG SIDEMPUAN,16,50.33%,2.013.315.136,400.0,P2,Need check quality transport,P2,16,2.013.315.136,Need check quality transport,Open,PYB96220260105
EID,1/5/2026,RAP120,Telkomsel Radio IP,RANTAU PRAPAT,15,31.03%,1.861.759.019,600.0,P2,Need check quality transport,P2,15,1.861.759.019,Need check quality transport,Open,RAP12020260105
EID,1/5/2026,RAP991,Telkomsel Radio IP,RANTAU PRAPAT,19,6.67%,2.667.173.352,400.0,P1,Need check quality transport,P1,19,2.667.173.352,Need check quality transport,Open,RAP99120260105
EID,1/5/2026,SDK992,Leased Radio IP,PEMATANG SIANTAR,17,97.49%,1.949.861.312,200.0,P2,Capacity transport issue,P2,17,1.949.861.312,Capacity transport issue,Open,SDK99220260105
EID,1/5/2026,SGI079,Leased Radio IP,ACEH,16,51.28%,2.051.267.074,400.0,P2,Need check quality transport,P2,16,2.051.267.074,Need check quality transport,Open,SGI07920260105
EID,1/5/2026,SGI132,Metro-E,ACEH,12,36.10%,3.610.371.125,1000.0,P2,Need check quality transport,P2,12,3.610.371.125,Need check quality transport,Open,SGI13220260105
EID,1/5/2026,TKN133,Metro-E,ACEH,20,16.67%,1.666.772.646,1000.0,P1,Need check quality transport,P1,20,1.666.772.646,Need check quality transport,Open,TKN13320260105
